starttime	seconds	ctime	dtime	ttime	wait
Tue Jan 31 01:05:18 2023	1675105518	0	725	725	725
Tue Jan 31 01:05:19 2023	1675105519	0	726	726	675
Tue Jan 31 01:05:19 2023	1675105519	0	730	730	659
Tue Jan 31 01:05:17 2023	1675105517	1	730	731	314
Tue Jan 31 01:05:19 2023	1675105519	0	731	731	716
Tue Jan 31 01:05:13 2023	1675105513	0	732	732	718
Tue Jan 31 01:05:14 2023	1675105514	0	734	734	702
Tue Jan 31 01:05:16 2023	1675105516	0	739	739	654
Tue Jan 31 01:05:16 2023	1675105516	0	741	741	694
Tue Jan 31 01:05:15 2023	1675105515	0	741	741	732
Tue Jan 31 01:05:15 2023	1675105515	1	741	743	738
Tue Jan 31 01:05:14 2023	1675105514	0	743	744	743
Tue Jan 31 01:05:14 2023	1675105514	0	744	744	743
Tue Jan 31 01:05:14 2023	1675105514	0	745	745	744
Tue Jan 31 01:05:14 2023	1675105514	0	746	746	745
Tue Jan 31 01:05:15 2023	1675105515	0	748	748	722
Tue Jan 31 01:05:16 2023	1675105516	0	750	750	533
Tue Jan 31 01:05:18 2023	1675105518	0	750	750	750
Tue Jan 31 01:05:14 2023	1675105514	0	750	750	750
Tue Jan 31 01:05:14 2023	1675105514	0	751	752	751
Tue Jan 31 01:05:13 2023	1675105513	0	752	752	752
Tue Jan 31 01:05:14 2023	1675105514	0	754	754	752
Tue Jan 31 01:05:19 2023	1675105519	0	756	756	667
Tue Jan 31 01:05:16 2023	1675105516	0	760	760	755
Tue Jan 31 01:05:18 2023	1675105518	0	762	763	762
Tue Jan 31 01:05:16 2023	1675105516	0	765	765	746
Tue Jan 31 01:05:16 2023	1675105516	0	766	766	665
Tue Jan 31 01:05:19 2023	1675105519	0	768	768	698
Tue Jan 31 01:05:19 2023	1675105519	0	768	769	701
Tue Jan 31 01:05:13 2023	1675105513	0	769	769	768
Tue Jan 31 01:05:17 2023	1675105517	3	766	769	314
Tue Jan 31 01:05:16 2023	1675105516	0	770	770	576
Tue Jan 31 01:05:16 2023	1675105516	1	772	773	739
Tue Jan 31 01:05:15 2023	1675105515	0	773	773	773
Tue Jan 31 01:05:19 2023	1675105519	0	775	775	684
Tue Jan 31 01:05:15 2023	1675105515	0	775	775	775
Tue Jan 31 01:05:19 2023	1675105519	0	779	779	743
Tue Jan 31 01:05:14 2023	1675105514	0	780	780	779
Tue Jan 31 01:05:15 2023	1675105515	0	782	782	782
Tue Jan 31 01:05:18 2023	1675105518	0	784	784	783
Tue Jan 31 01:05:18 2023	1675105518	0	788	788	787
Tue Jan 31 01:05:16 2023	1675105516	0	789	789	489
Tue Jan 31 01:05:14 2023	1675105514	0	791	791	763
Tue Jan 31 01:05:16 2023	1675105516	0	792	793	630
Tue Jan 31 01:05:16 2023	1675105516	0	793	793	793
Tue Jan 31 01:05:19 2023	1675105519	0	799	799	752
Tue Jan 31 01:05:15 2023	1675105515	10	797	807	796
Tue Jan 31 01:05:15 2023	1675105515	1	806	807	782
Tue Jan 31 01:05:16 2023	1675105516	0	808	808	595
Tue Jan 31 01:05:15 2023	1675105515	1	812	812	434
Tue Jan 31 01:05:19 2023	1675105519	0	815	815	748
Tue Jan 31 01:05:15 2023	1675105515	0	822	822	797
