starttime	seconds	ctime	dtime	ttime	wait
Tue Jan 31 01:05:19 2023	1675105519	0	469	469	468
Tue Jan 31 01:05:15 2023	1675105515	0	469	469	469
Tue Jan 31 01:05:14 2023	1675105514	0	469	469	67
Tue Jan 31 01:05:17 2023	1675105517	9	461	469	40
Tue Jan 31 01:05:20 2023	1675105520	0	469	469	78
Tue Jan 31 01:05:17 2023	1675105517	9	461	470	39
Tue Jan 31 01:05:15 2023	1675105515	0	470	470	467
Tue Jan 31 01:05:19 2023	1675105519	0	470	470	470
Tue Jan 31 01:05:17 2023	1675105517	10	461	470	35
Tue Jan 31 01:05:17 2023	1675105517	10	461	471	59
Tue Jan 31 01:05:18 2023	1675105518	0	470	471	470
Tue Jan 31 01:05:17 2023	1675105517	9	462	471	40
Tue Jan 31 01:05:17 2023	1675105517	8	464	471	40
Tue Jan 31 01:05:18 2023	1675105518	0	472	472	471
Tue Jan 31 01:05:19 2023	1675105519	0	472	472	472
Tue Jan 31 01:05:17 2023	1675105517	8	464	472	40
Tue Jan 31 01:05:13 2023	1675105513	1	472	474	465
Tue Jan 31 01:05:14 2023	1675105514	0	474	474	473
Tue Jan 31 01:05:17 2023	1675105517	10	464	474	28
Tue Jan 31 01:05:13 2023	1675105513	1	473	474	465
Tue Jan 31 01:05:18 2023	1675105518	0	475	475	450
Tue Jan 31 01:05:16 2023	1675105516	0	476	476	476
Tue Jan 31 01:05:14 2023	1675105514	0	477	477	476
Tue Jan 31 01:05:15 2023	1675105515	0	477	477	476
Tue Jan 31 01:05:19 2023	1675105519	0	478	478	478
Tue Jan 31 01:05:17 2023	1675105517	9	470	478	74
Tue Jan 31 01:05:17 2023	1675105517	8	470	479	38
Tue Jan 31 01:05:14 2023	1675105514	0	479	479	473
Tue Jan 31 01:05:17 2023	1675105517	10	468	479	18
Tue Jan 31 01:05:17 2023	1675105517	8	471	479	47
Tue Jan 31 01:05:15 2023	1675105515	0	480	480	476
Tue Jan 31 01:05:13 2023	1675105513	1	479	481	462
Tue Jan 31 01:05:14 2023	1675105514	0	481	481	481
Tue Jan 31 01:05:13 2023	1675105513	1	480	481	479
Tue Jan 31 01:05:15 2023	1675105515	0	481	481	481
Tue Jan 31 01:05:17 2023	1675105517	0	481	481	247
Tue Jan 31 01:05:16 2023	1675105516	0	481	482	481
Tue Jan 31 01:05:14 2023	1675105514	0	482	482	445
Tue Jan 31 01:05:18 2023	1675105518	0	482	482	478
Tue Jan 31 01:05:18 2023	1675105518	0	483	483	482
Tue Jan 31 01:05:17 2023	1675105517	7	475	483	77
Tue Jan 31 01:05:19 2023	1675105519	0	483	483	483
Tue Jan 31 01:05:17 2023	1675105517	9	475	484	25
