starttime	seconds	ctime	dtime	ttime	wait
Tue Jan 31 01:04:40 2023	1675105480	0	182	182	182
Tue Jan 31 01:04:40 2023	1675105480	0	182	182	182
Tue Jan 31 01:04:38 2023	1675105478	3	180	183	179
Tue Jan 31 01:04:38 2023	1675105478	0	183	183	182
Tue Jan 31 01:04:33 2023	1675105473	3	181	184	180
Tue Jan 31 01:04:38 2023	1675105478	0	185	185	184
Tue Jan 31 01:04:41 2023	1675105481	0	185	185	184
Tue Jan 31 01:04:39 2023	1675105479	0	186	186	180
Tue Jan 31 01:04:35 2023	1675105475	0	186	186	175
Tue Jan 31 01:04:35 2023	1675105475	0	186	186	180
Tue Jan 31 01:04:35 2023	1675105475	0	186	186	185
Tue Jan 31 01:04:34 2023	1675105474	0	186	186	184
Tue Jan 31 01:04:33 2023	1675105473	2	185	186	184
Tue Jan 31 01:04:40 2023	1675105480	0	187	187	186
Tue Jan 31 01:04:35 2023	1675105475	0	188	188	187
Tue Jan 31 01:04:38 2023	1675105478	0	188	188	187
Tue Jan 31 01:04:40 2023	1675105480	0	188	188	187
Tue Jan 31 01:04:41 2023	1675105481	0	188	188	188
Tue Jan 31 01:04:39 2023	1675105479	2	186	188	185
Tue Jan 31 01:04:38 2023	1675105478	0	188	188	137
Tue Jan 31 01:04:36 2023	1675105476	0	189	189	182
Tue Jan 31 01:04:34 2023	1675105474	0	189	189	188
Tue Jan 31 01:04:34 2023	1675105474	0	190	190	181
Tue Jan 31 01:04:38 2023	1675105478	0	191	191	190
Tue Jan 31 01:04:35 2023	1675105475	0	191	191	169
Tue Jan 31 01:04:34 2023	1675105474	1	190	192	190
Tue Jan 31 01:04:39 2023	1675105479	0	192	192	190
Tue Jan 31 01:04:38 2023	1675105478	2	189	192	185
Tue Jan 31 01:04:38 2023	1675105478	0	192	192	192
Tue Jan 31 01:04:34 2023	1675105474	1	192	194	192
Tue Jan 31 01:04:38 2023	1675105478	0	194	194	193
Tue Jan 31 01:04:40 2023	1675105480	0	194	194	193
Tue Jan 31 01:04:38 2023	1675105478	3	191	194	185
Tue Jan 31 01:04:39 2023	1675105479	0	195	196	195
Tue Jan 31 01:04:41 2023	1675105481	0	196	196	195
Tue Jan 31 01:04:39 2023	1675105479	0	196	196	195
Tue Jan 31 01:04:40 2023	1675105480	0	196	196	195
Tue Jan 31 01:04:35 2023	1675105475	0	197	197	196
Tue Jan 31 01:04:35 2023	1675105475	0	197	197	167
Tue Jan 31 01:04:40 2023	1675105480	0	197	197	100
Tue Jan 31 01:04:33 2023	1675105473	2	196	198	195
Tue Jan 31 01:04:38 2023	1675105478	3	196	198	195
Tue Jan 31 01:04:35 2023	1675105475	0	198	198	198
Tue Jan 31 01:04:35 2023	1675105475	0	199	199	140
Tue Jan 31 01:04:38 2023	1675105478	0	200	200	199
Tue Jan 31 01:04:41 2023	1675105481	0	201	201	200
Tue Jan 31 01:04:38 2023	1675105478	3	198	201	197
Tue Jan 31 01:04:35 2023	1675105475	0	201	201	200
Tue Jan 31 01:04:38 2023	1675105478	0	201	201	147
Tue Jan 31 01:04:40 2023	1675105480	0	202	202	90
Tue Jan 31 01:04:40 2023	1675105480	0	202	202	124
Tue Jan 31 01:04:38 2023	1675105478	0	203	203	201
Tue Jan 31 01:04:39 2023	1675105479	0	203	203	202
Tue Jan 31 01:04:34 2023	1675105474	0	203	204	189
